1,6,"NK","103","MYR","FLL","0753",-12.00,10.00,0.00,529.00,
1,1,"WN","1046","TUL","DAL","1205",-7.00,8.00,0.00,237.00,
1,5,"WN","1125","SAN","PHX","1140",3.00,11.00,0.00,304.00,
1,2,"WN","1768","SAN","HOU","0825",-1.00,10.00,0.00,1313.00,
1,7,"EV","4191","PWM","EWR","1740",-6.00,11.00,0.00,284.00,
1,7,"WN","4829","LAX","LAS","1140",28.00,20.00,40.00,236.00,
1,2,"WN","1213","DCA","STL","1855",-6.00,14.00,0.00,719.00,
1,6,"DL","1606","DTW","DEN","1610",3.00,16.00,0.00,1123.00,
1,7,"UA","733","DEN","SFO","1430",4.00,14.00,0.00,967.00,
1,1,"HA","398","HNL","KOA","2008",0.00,10.00,0.00,163.00,
1,3,"WN","1444","DEN","EWR","1740",30.00,10.00,0.00,1605.00,
1,4,"WN","4199","MDW","DAL","1840",0.00,9.00,1.00,793.00,
1,1,"DL","495","JFK","LAS","1110",-5.00,24.00,7.00,2248.00,
1,1,"WN","292","BWI","PWM","2205",26.00,7.00,17.00,452.00,
1,2,"OO","3113","ICT","ORD","0535",-2.00,17.00,0.00,588.00,
1,7,"WN","507","SNA","MCI","1135",1.00,13.00,0.00,1342.00,
1,4,"DL","1927","FLL","ATL","0745",-3.00,11.00,0.00,581.00,
1,7,"OO","3071","PHX","FLG","0948",-12.00,46.00,4.00,119.00,
1,4,"NK","676","FLL","MCO","2157",17.00,11.00,24.00,177.00,
1,2,"AA","2202","DFW","TUS","1100",-11.00,38.00,35.00,813.00,
1,2,"NK","612","LAS","MSP","0040",0.00,3.00,3.00,1299.00,
1,5,"UA","233","SFO","EWR","0830",3.00,24.00,0.00,2565.00,
1,3,"WN","24","HRL","HOU","1025",0.00,10.00,0.00,277.00,
1,5,"AA","772","SJU","PHL","1620",-9.00,16.00,0.00,1576.00,
1,2,"WN","2226","STL","LAX","1345",23.00,8.00,45.00,1592.00,
1,3,"WN","4228","SDF","BWI","1930",-5.00,7.00,0.00,495.00,
1,3,"WN","4194","LAS","SAN","1425",0.00,10.00,0.00,258.00,
1,3,"UA","1149","EWR","MCO","2059",11.00,22.00,0.00,937.00,
1,1,"WN","4020","OAK","BUR","1515",46.00,14.00,48.00,325.00,
1,6,"DL","1844","ATL","FLL","1745",3.00,15.00,0.00,581.00,
1,3,"WN","302","ATL","LGA","1735",-3.00,11.00,0.00,762.00,
1,4,"AA","2292","DFW","DEN","2045",1.00,22.00,0.00,641.00,
1,2,"NK","806","LAS","ATL","1322",,,,1747.00,
1,4,"DL","949","RSW","JFK","1950",-5.00,11.00,5.00,1074.00,
1,4,"WN","1348","SAN","SAT","1555",73.00,37.00,83.00,1129.00,
1,4,"WN","1605","LAS","PHX","1000",5.00,12.00,0.00,255.00,
1,1,"UA","793","ORD","LAX","1620",-3.00,19.00,38.00,1744.00,
1,6,"B6","667","MCO","PSE","2157",-4.00,14.00,0.00,1179.00,
1,7,"HA","338","HNL","KOA","0644",-6.00,8.00,0.00,163.00,
1,6,"EV","2829","DFW","SHV","1850",-5.00,21.00,0.00,190.00,
